Advertiser_ID,Advertiser_Name,Public_IDs_List,Total_Creatives,Total_Spend_USD
AR182061533373661184,PATIENTS FOR AFFORDABLE DRUGS ACTION,FEC ID C00680926,19,70800
AR1838383441641472,TOM MALINOWSKI FOR CONGRESS,FEC ID C00656686,9,11900
AR184313333187346432,Hurd for Congress ,FEC ID C00545467,5,2700
AR186565133001031680,"WITH HONOR FUND, INC.",FEC ID C00659011,315,130900
AR18841231253569536,OHIO DEMOCRATIC PARTY,FEC ID C00016899,45,3600
AR191068732628402176,HUIZENGA FOR CONGRESS,FEC ID C00459297,1,500
AR194446432348930048,NRSC,FEC ID C00027466,526,744300
AR196874154023059456,DEFENDARIZONA,FEC ID C00668301,30,106500
AR199381040534388736,NJ7 CITIZENS FOR CHANGE,FEC ID C00640458,1,0
AR200075931883143168,KANEW FOR CONGRESS,FEC ID C00638403,96,1200
AR201201831789985792,JOHN KINGSTON FOR SENATE INC,FEC ID C00650820,269,68600
AR202327731696828416,CLEARPATH ACTION INC,EIN ID 81-1199760,544,71400
AR204473978394247168,MCKINLEY FOR CONGRESS,FEC ID C00473132,15,1000
AR206312361835888640,GIBBS FOR CONGRESS,FEC ID C00466516,23,6800
AR208001211696152576,America's Liberty PAC,FEC ID C00532572,24,600
AR210209031044726784,ELIZABETH FOR MA INC,FEC ID C00500843,128,50500
AR210512496253992960,VOTEVETS.ORG ACTION FUND,FEC ID C90010620,1,300
AR21057846695165952,MARTY FOR CONGRESS INC,FEC ID C00658583,30,300
AR211334930951569408,STIVERS FOR CONGRESS,FEC ID C00441352,30,46600
AR212460830858412032,ROSKAM FOR CONGRESS COMMITTEE,FEC ID C00410969,144,26700
AR212707121463033856,JOHN ROSE FOR TENNESSEE,FEC ID C00652743,21,16400
AR213586730765254656,PERRY GERSHON FOR CONGRESS,FEC ID C00650457,2,4400
AR216045238764961792,"PERFORMANCE MEDIA MARKETING, INC",EIN ID 46-4449393,1,0
AR216507033648627712,DEMOCRATIC GOVERNORS ASSOCIATION,EIN ID 52-1304889,1,200
AR219216230299467776,ROSEN FOR NEVADA,FEC ID C00606939,153,132400
AR220342130206310400,GREG STEUBE CONGRESSIONAL COMMITTEE,FEC ID C00671891,94,55100
AR22183746602008576,REPUBLICAN MAJORITY FUND,FEC ID C00296640,43,4400
AR222066164438663168,FRIENDS OF SUSAN HUTCHISON,FEC ID C00681569,3,1800
AR222593930019995648,CARLA NELSON FOR CONGRESS,FEC ID C00657056,14,2500
AR228267410019319808,PROGRESS TOMORROW INC,EIN ID 83-1058941,6,11800
AR229349329461051392,ROMNEY FOR UTAH INC,FEC ID C00670695,11,21500
AR230475229367894016,SENATE LEADERSHIP FUND,FEC ID C00571703,73,241200
AR231601129274736640,DONOVAN FOR CONGRESS,FEC ID C00571869,1,0
AR235409837553352704,ELECTRIC SYMPHONY LLC,EIN ID 46-3284163,32,4300
AR236104728902107136,MARTHA ROBY FOR CONGRESS,FEC ID C00462143,76,30800
AR23613111718117376,FRIENDS OF ELIZABETH ESTY,FEC ID C00494203,4,100
AR239482428622635008,HEIDI FOR SENATE,FEC ID C00505552,84,76700
AR240608328529477632,RESONATE NETWORKS INC,EIN ID 27-1573058,17,12700
AR240810638668988416,ELIZABETH HENG FOR CONGRESS,FEC ID C00670257,10,1300
AR242860128343162880,ELIZABETH PANNILL FLETCHER FOR CONGRESS,FEC ID C00640045,10,800
AR244030008715116544,TEAM STAVA-MURRAY,EIN ID 82-3081534,2,0
AR24435546415693824,PAUL DAVIS FOR KANSAS,FEC ID C00653121,6,1600
AR245542936714936320,FRIENDS OF DAVE BRAT INC.,FEC ID C00554949,3,5900
AR246237828063690752,STABENOW FOR US SENATE,FEC ID C00344473,30,66600
AR246281808528801792,"YODER FOR CONGRESS, INC",FEC ID C00472365,17,6100
AR247363727970533376,BLACKBURN TENNESSEE VICTORY FUND,FEC ID C00676395,6,200
AR248489627877376000,DCCC,FEC ID C00000935,30,37400
AR249615527784218624,DSCC,FEC ID C00042366,9,1200
AR254119127411589120,CFG ACTION WISCONSIN,EIN ID 82-2516740,174,32000
AR26168376741068800,"Sandoval Creative, INC",EIN ID 80-0011788,4,2000
AR263126326666330112,KIND FOR CONGRESS COMMITTEE,FEC ID C00312017,2,4500
AR264252226573172736,Friends of Scott Walker Inc.,EIN ID 39-1816136,2,800
AR265378126480015360,BRINDISI FOR CONGRESS,FEC ID C00648725,15,14800
AR266504026386857984,GUPTA FOR CONGRESS,FEC ID C00662213,7,1400
AR26687346229379072,VIRGINIA FOXX FOR CONGRESS,FEC ID C00386748,20,3200
AR267629926293700608,"ANDREW CUOMO 2018, INC.",EIN ID 13-4153895,2,600
AR272133525921071104,AFG Group Inc.,EIN ID 82-1315176,3,5100
AR273259425827913728,SWING LEFT,FEC ID C00632133,4,0
AR273303406293024768,MALONEY FOR NEW YORK,EIN ID 83-0176546,29,9500
AR274385325734756352,RANDY HULTGREN FOR CONGRESS,FEC ID C00467522,4,0
AR274592033920778240,COMMITTEE TO ELECT DAN KOH,FEC ID C00654509,1,15600
AR274803140153311232,AMERICAN POTENTIAL PAC,FEC ID C00685941,18,1100
AR276637125548441600,REPUBLICAN NATIONAL COMMITTEE,FEC ID C00003418,17,17500
AR278009316059906048,TARKANIAN FOR CONGRESS,FEC ID C00465963,6,100
AR278369955873816576,FOR OUR REPUBLIC FUND,EIN ID 83-0939337,5,24400
AR278888925362126848,TIFFANY SHEDD FOR CONGRESS COMMITTEE,FEC ID C00657155,19,10400
AR282266625082654720,"NATURAL RESOURCES DEFENSE COUNCIL, INC.",EIN ID 13-2654926,235,35500
AR283392524989497344,COMSTOCK FOR CONGRESS,FEC ID C00554261,200,46400
AR284518424896339968,CARYN FOR CONGRESS INC,FEC ID C00654830,8,2500
AR284949433454428160,ILHAN FOR CONGRESS,FEC ID C00680934,9,3100
AR285644324803182592,THE COMMITTEE TO DEFEND THE PRESIDENT ,FEC ID C00544767,137,4000
AR28939146043064320,MCSALLY FOR SENATE INC,FEC ID C00666040,544,23900
AR290068759593353216,NEW YORK STATE DEMOCRATIC COMMITTEE,EIN ID 13-0628260,16,46800
AR291273824337395712,AMERICANS FOR PROSPERITY,EIN ID 75-3148958,286,437900
AR293569604616192000,OSMACK FOR MISSOURI,FEC ID C00650994,3,800
AR29370154601152512,REPUBLICAN PARTY OF IOWA,FEC ID C00014498,2,400
AR294651524057923584,PLANNED PARENTHOOD ACTION FUND INC,FEC ID C90005471,7,25700
AR294968183406723072,ARIZONANS FOR LIFE,FEC ID C00681817,4,9700
AR296903323871608832,FASO FOR CONGRESS,FEC ID C00580415,6,4200
AR299155123685294080,GREG FOR MONTANA,FEC ID C00631945,41,30000
AR299458588894560256,LGBTQ VICTORY FUND FEDERAL PAC,FEC ID C00476978,8,800
AR300281023592136704,"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",EIN ID 13-1644147,64,253600
AR30065045949906944,BILL NELSON FOR U S SENATE,FEC ID C00344051,55,286500
AR30109026415017984,"HUFFINES, DONALD",FEC ID C90009697,5,400
AR301231001638535168,CIVIC,EIN ID 83-0899623,5,300
AR302532823405821952,CARLOS CURBELO CONGRESS,FEC ID C00546846,68,8700
AR303658723312664576,CARPER FOR SENATE,FEC ID C00349217,34,67200
AR3043448185683968,DEAN PHILLIPS FOR CONGRESS,FEC ID C00640714,24,21800
AR305030913824129024,DELBENE FOR CONGRESS,FEC ID C00459099,3,1300
AR307071607405281280,JASON CROW FOR CONGRESS,FEC ID C00637363,17,6200
AR308162322940035072,JASON RITTEREISER FOR CONGRESS ,FEC ID C00650028,12,500
AR310414122753720320,MCCREADY FOR CONGRESS,FEC ID C00641381,4,13900
AR311843487869829120,NYS SENATE REPUBLICAN CAMPAIGN COMMITTEE,EIN ID 14-1753654,2,0
AR31190945856749568,SUSIE LEE FOR CONGRESS,FEC ID C00655613,3,5800
AR312665922567405568,One Nation,EIN ID 27-1937961,326,1587200
AR314398752892780544,POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF  ORTHOPAEDIC SURGEONS--PAC OF AAOS,FEC ID C00343137,1,1400
AR317169522194776064,PROTECT FREEDOM POLITICAL ACTION COMMITTEE INC,FEC ID C00657866,20,35100
AR317600530752864256,MARGARET FOR CONGRESS,FEC ID C00680553,8,1900
AR318295422101618688,JOSH GOTTHEIMER FOR CONGRESS,FEC ID C00573949,9,4700
AR318339402566729728,Working Families Party,EIN ID 20-0957795,1,200
AR318400975217885184,PATRIOTIC AMERICANS PAC,FEC ID C00637009,4,29400
AR319421322008461312,BREDESEN FOR SENATE,FEC ID C00663658,96,202800
AR321673121822146560,HOUSE MAJORITY PAC,FEC ID C00495028,115,296300
AR32316845763592192,WINNING FOR WOMEN INC.,FEC ID C90017609,6,1100
AR327302621356359680,FRENCH HILL FOR ARKANSAS,FEC ID C00551275,26,2200
AR328428521263202304,MOULTON FOR CONGRESS,FEC ID C00547240,13,3800
AR329053043867779072,PRIORITIES USA ACTION & SMP,"FEC ID C00495861, FEC ID C00484642",381,809200
AR329598401635155968,CINDY AXNE FOR CONGRESS,FEC ID C00646844,4,1100
AR330680321076887552,"HANDEL FOR CONGRESS, INC.",FEC ID C00633362,12,6400
AR330926611681509376,MEL HALL FOR CONGRESS,FEC ID C00657635,1,1700
AR332932120890572800,ROB WITTMAN FOR CONGRESS ,FEC ID H8VA01147,10,4400
AR336309820611100672,HOUSLEY FOR SENATE COMMITTEE,FEC ID C00664219,750,19100
AR336353801076211712,The Rhode Island Coalition Against Gun Violence,EIN ID 46-4140163,6,1500
AR338561620424785920,SCHIFF FOR CONGRESS,FEC ID C00343871,2,0
AR340989342098915328,FRIENDS OF JAHANA HAYES,FEC ID C00677898,6,1900
AR345317019865841664,KATHY MANNING FOR CONGRESS,FEC ID C00662577,5,4700
AR345361000330952704,COMMITTEE TO ELECT KIMBERLY BIZON,FEC ID C00666594,5,100
AR346442919772684288,"WINNING FOR WOMEN, INC. PAC",FEC ID C00646703,5,4800
AR346649627958706176,JOHN CARTER FOR CONGRESS,FEC ID C00371203,4,600
AR3474456743772160,MIKIE SHERRILL FOR CONGRESS,FEC ID C00640003,4,100
AR347568819679526912,FINKENAUER FOR CONGRESS,FEC ID C00637074,15,3500
AR34770955716788224,"TBP Productions, LLP",EIN ID 26-2585764,2,1400
AR347872284888793088,COFFMAN FOR CONGRESS 2018,FEC ID C00629287,9,4600
AR348694719586369536,CLAUDIA TENNEY FOR CONGRESS,FEC ID C00632828,6,1500
AR350946519400054784,RADINOVICH FOR CONGRESS,FEC ID C00671032,9,2000
AR352116399772008448,ALEX MOONEY FOR CONGRESS,FEC ID C00629949,31,500
AR353198319213740032,MAST FOR CONGRESS,FEC ID C00632257,14,22000
AR354324219120582656,TENNESSEE JOBS NOW,EIN ID 82-3720631,30,189400
AR357701918841110528,GILLIBRAND FOR SENATE,FEC ID C00413914,14,9900
AR360160426840817664,JOE MORELLE FOR CONGRESS,FEC ID C00675108,7,200
AR363762426933411840,VAN TAYLOR CAMPAIGN,FEC ID C00653634,3,2600
AR364457318282166272,"Manhattan Institute for Policy Research, Inc.",EIN ID 13-2912529,2,0
AR365627198654119936,LAUREN BAER FOR CONGRESS,FEC ID C00652594,11,1000
AR366181352514519040,MIKE BOST FOR CONGRESS COMMITTEE,FEC ID C00546499,23,7400
AR366955408700473344,SUSAN WILD FOR CONGRESS,FEC ID C00658567,25,5400
AR368960917909536768,ELISSA SLOTKIN FOR CONGRESS,FEC ID C00650150,14,6500
AR372338617630064640,TED CRUZ FOR SENATE,FEC ID C00492785,17,34900
AR372382598095175680,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,FEC ID C00140590,5,1200
AR373464517536907264,COTTON FOR SENATE,FEC ID C00499988,16,200
AR374590417443749888, JUDICIAL WATCH INC ,EIN ID 52-1885088,1,1200
AR375716317350592512,END CITIZENS UNITED,FEC ID C00573261,92,53300
AR37946345297805312,"FREEDOM PARTNERS ACTION FUND, INC.",FEC ID C00564765,10,4500
AR381345816884805632,KEN CALVERT FOR CONGRESS COMMITTEE,FEC ID C00257337,34,1300
AR382471716791648256,EQUALITY PAC,FEC ID C00550970,43,22600
AR384723516605333504,DIANE BLACK FOR GOVERNOR,EIN ID 82-2341542,308,201000
AR384925826744844288,FRIENDS OF HAGEDORN,FEC ID C00550707,20,4200
AR386975316419018752,MARSHA FOR SENATE,FEC ID C00376939,116,150900
AR390656481348812800,JANET NGUYEN FOR SENATE 2018,EIN ID 20-0879756,2,100
AR391478916046389248,THE COMMITTEE TO ELECT AYANNA PRESSLEY,FEC ID C00667741,13,16600
AR392604815953231872,KAINE FOR VIRGINIA,FEC ID C00495358,11,11100
AR399360215394287616,COMMITTEE TO ELECT STEVE WATKINS,FEC ID C00660050,36,8800
AR399562525533798400,DANIEL WEBSTER FOR CONGRESS,FEC ID C00481911,24,500
AR40198145111490560,MONTANANS FOR TESTER,FEC ID C00412304,81,51600
AR402737915114815488,WOMEN VOTE!,FEC ID C00473918,32,2400
AR404989714928500736,AMERICAN CONSERVATIVE UNION,EIN ID 52-0810813,14,0
AR408367414649028608,FRIENDS OF LUCY MCBATH INC.,FEC ID C00672295,26,17400
AR408411395114139648,NEAL SIMON FOR U.S. SENATE,FEC ID C00671073,9,8500
AR411745114369556480,MARY BARZEE FLORES FOR CONGRESS,FEC ID C00651471,15,3700
AR41368025483444224,REPUBLICAN NATIONAL SENATORIAL INDEPENDENT EXPENDITURE COMMITTEE,FEC ID C00166439,1,108900
AR416248713996926976,DUFFY FOR WISCONSIN,FEC ID C00464339,16,2400
AR416552179206193152,OLSON FOR CONGRESS COMMITTEE,FEC ID C00437913,4,600
AR4169348092526592,FLORIDA GROWN PAC,EIN ID 47-3101952,13,86900
AR417418594368880640,"CLA, Inc.",EIN ID 82-1313517,55,100000
AR418918328229167104,KOHL VICTORY FUND,FEC ID C00662346,9,15300
AR419626413717454848,TAMMY BALDWIN FOR SENATE,FEC ID C00326801,42,175000
AR419929878926721024,SPANBERGER FOR CONGRESS,FEC ID C00649913,36,3700
AR423004113437982720,SCALISE FOR CONGRESS,FEC ID C00394957,3,300
AR424173993809936384,STITT FOR GOVERNOR 2018,EIN ID 82-2044735,1,500
AR42449944925175808,MARTIN HEINRICH FOR SENATE ,FEC ID C00434563,70,21900
AR425255913251667968,KATIE ARRINGTON FOR CONGRESS,FEC ID C00653204,9,800
AR426381813158510592,BRIGHT FOR CONGRESS,FEC ID C00446138,3,100
AR42696235529797632,"KUSTER FOR CONGRESS, INC",FEC ID C00462861,14,3700
AR427507713065353216,AMERICA FIRST POLICIES INC.,FEC ID C30002778,4,6600
AR428633612972195840,"AMERICAN CIVIL LIBERTIES UNION, INC",EIN ID 13-3871360,272,28800
AR429064621530284032,HARRY FOR CT INC.,FEC ID C00664151,162,12200
AR429759512879038464,RANDY BRYCE FOR CONGRESS,FEC ID C00647537,63,47300
AR435389012413251584,"KEVIN ABEL FOR CONGRESS, INC.",FEC ID C00658625,9,500
AR435820020971339776,CONSERVATIVE TRIUMPH FUND,FEC ID C00634717,15,12200
AR436057515482939392,"Data Targeting, Inc.",EIN ID 59-3347457,66,8000
AR436514912320094208,SINEMA FOR ARIZONA,FEC ID C00508804,36,85900
AR437684792692047872,MONOCLE CONSULTING LLC,EIN ID 83-1423106,1,600
AR443573776970416128,CFG Action Montana,EIN ID 82-2295568,114,5100
AR444396211667992576,PETE STAUBER FOR CONGRESS VOLUNTEER COMMITTEE,FEC ID C00650697,21,14500
AR444440192133103616,SABER COMMUNICATIONS INC,EIN ID 54-1661181,24,2300
AR445522111574835200,STEWART FOR SENATE INC,FEC ID C00650374,55,1600
AR44622579901661184,WENDYROGERS.ORG,FEC ID C00510958,2,2800
AR446951476690944000,UPTON FOR ALL OF US,FEC ID C00200584,16,1700
AR447694746551320576,MJ FOR TEXAS,FEC ID C00649350,6,1800
AR450025711202205696,LEA MARQUEZ PETERSON FOR CONGRESS ,FEC ID C00663054,14,6400
AR452277511015890944,MORRISEY FOR SENATE INC,FEC ID C00651075,178,6400
AR453403410922733568,BURCHETT FOR CONGRESS,FEC ID C00652149,45,200
AR454529310829576192,JOSH HAWLEY FOR SENATE,FEC ID C00652727,137,78300
AR455958675945684992,COMMITTEE TO ELECT JARED GOLDEN,FEC ID C00653816,3,3000
AR459032910456946688,CATHY FOR CONGRESS,FEC ID C00648907,53,16500
AR460202790828900352,COMMITTEE TO ELECT JEFF BALLINGER TO THE U S CONGRESS,FEC ID C00669713,2,2300
AR462410610177474560,"AMERICA FIRST ACTION, INC",FEC ID C00637512,24,16100
AR462454590642585600,CHRISTIANS UNITED FOR ISRAEL ACTION FUND,EIN ID 46-1868892,4,8000
AR463536510084317184,SMP,FEC ID C00484642,191,112000
AR465788309898002432,FRIENDS OF CHRIS MURPHY,FEC ID C00492645,6,1100
AR470291909525372928,CONGRESSIONAL LEADERSHIP FUND,FEC ID C00504530,753,1022600
AR471417809432215552,SERVE AMERICA PAC,FEC ID C00571174,4,0
AR47257009761812480,ENVIRONMENTAL DEFENSE ACTION FUND,FEC ID C30000954,3,1800
AR479299108780113920,SAM GRAVES VICTORY FUND,FEC ID C00588822,3,100
AR480425008686956544,DAN NEWHOUSE FOR CONGRESS,FEC ID C00559393,9,2400
AR480468989152067584,LASHAR FOR CONGRESS,EIN ID 82-4481440,27,1000
AR48079444459388928,DONNA SHALALA FOR CONGRESS,FEC ID C00672311,4,13800
AR48123424924499968,MCSHANE LLC,EIN ID 82-3364220,3,200
AR482676808500641792,JEFF MERKLEY FOR OREGON,FEC ID C00437277,1,200
AR483802708407484416,HUDSON FOR CONGRESS ,FEC ID H2NC08185,15,2900
AR487611416686100480,IAN TODD FOR CONGRESS,FEC ID C00646372,48,1100
AR488306308034854912,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,FEC ID C00618371,1367,1057300
AR488609773244121088,SEAN FLYNN FOR CONGRESS,FEC ID C00602722,3,500
AR489432207941697536,DIEHL FOR US SENATE,FEC ID C00637611,545,21700
AR489476188406808576,TRAUNER FOR THE PEOPLE OF WYOMING,FEC ID C00663146,4,700
AR490558107848540160,LAUREN UNDERWOOD FOR CONGRESS,FEC ID C00652719,8,1000
AR490839582825250816,"FRIENDS OF DENVER RIGGLEMAN, INC.",FEC ID C00680488,16,10200
AR491987472964648960,Kansas Republican Party,EIN ID 48-0290483,1,500
AR49205344366231552,NEXTGEN CLIMATE ACTION COMMITTEE,FEC ID C00547349,1135,59000
AR492704354545958912,FRIENDS OF JOHN BARRASSO,FEC ID C00436386,56,19300
AR492809907662225408,BETO FOR TEXAS,FEC ID C00501197,47,453200
AR495545492592132096,RON ESTES FOR CONGRESS,FEC ID C00632067,1,200
AR497313507289595904,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,FEC ID C00310318,2,0
AR498439407196438528,Randy Boyd for Governor,EIN ID 41-1175482,2,26000
AR498742872405704704,MIKE BRAUN FOR INDIANA,FEC ID C00653147,11,10900
AR500691207010123776,RENACCI FOR SENATE,FEC ID C00466359,31,1100
AR501122215568211968,"SMART MEDIA, LLC",EIN ID 80-0216301,3,200
AR50331244273074176,SCOTT WALLACE FOR CONGRESS,FEC ID C00667097,12,16400
AR507446606451179520,SIXTEEN THIRTY FUND,EIN ID 26-4486735,50,25200
AR507877615009267712,EWERT FOR CONGRESS,FEC ID C00669671,8,4100
AR509742386729975808,TREY FOR CONGRESS,FEC ID C00590463,4,1000
AR510296540590374912,HEWITT CAMPAIGNS INC,EIN ID 90-0145871,6,1900
AR51457144179916800,ANN WAGNER FOR CONGRESS,FEC ID C00495846,7,6400
AR515327905799077888,KATKO FOR CONGRESS,FEC ID C00556365,7,900
AR515631371008344064,"New Mexicans for Michelle, Inc.",EIN ID 81-4620747,16,500
AR516497786171031552,CARE ACTION NOW INC,EIN ID 26-1728410,24,2600
AR517579705612763136,LENA FOR CONGRESS,FEC ID C00641498,71,20800
AR518705605519605760,TOM MACARTHUR FOR CONGRESS INC.,FEC ID C00557520,8,1600
AR519831505426448384,JOHN JAMES FOR SENATE INC,FEC ID C00651208,51,58200
AR521133327193735168,INTEGRITY NJ,FEC ID C00671099,32,45400
AR524335105053818880,PRIORITIES USA ACTION,FEC ID C00495861,30,21400
AR525504985425772544,ROB WOODALL FOR CONGRESS,FEC ID C00482307,12,700
AR526586904867504128,JUDICIAL CRISIS NETWORK,EIN ID 20-2303252,1,200
AR526793613053526016,BUCK FOR COLORADO,FEC ID C00573378,41,6600
AR528016269983612928,MAJORITY FORWARD,FEC ID C90016098,7,22700
AR530571535006564352,PLANNED PARENTHOOD ADVOCATES OF WISCONSIN INC,FEC ID C90008673,1,100
AR531090504494874624,LCV VICTORY FUND,FEC ID C00486845,5,4900
AR532260384866828288,EMPOWERING WELLNESS INC.,FEC ID C90017823,12,3100
AR5339228464480256,ELLISON FOR ATTORNEY GENERAL,EIN ID 83-0780684,2,200
AR534468204215402496,SIERRA CLUB,EIN ID 94-1153307,2,2100
AR534512184680513536,LATINO VICTORY FUND,FEC ID C00562777,26,1500
AR535594104122245120,VAL DEMINGS FOR CONGRESS,FEC ID C00590489,2,23100
AR536720004029087744,"STEIL FOR WISCONSIN, INC.",FEC ID C00677286,47,8600
AR537845903935930368,DR KIM SCHRIER FOR CONGRESS,FEC ID C00652628,15,3000
AR541258788028547072,ABDUL EL-SAYED FOR MICHIGAN,EIN ID 81-5316825,1,900
AR542349503563300864,TULSI FOR HAWAI'I,FEC ID C00497396,4,3400
AR548585933516046336,ZELDIN FOR CONGRESS,FEC ID C00552547,18,1300
AR551356702818041856,JAIME FOR CONGRESS,FEC ID C00472704,12,2600
AR552482602724884480,INDIANA DEMOCRATIC PARTY,EIN ID 35-0408850,7,3300
AR55265852458532864,WEST VIRGINIAS FUTURE PAC,EIN ID 47-5241081,4,100
AR55960743807287296,FRIENDS OF MARIA,FEC ID C00349506,8,2300
AR561489801979625472,"ANDY BARR FOR CONGRESS, INC.",FEC ID C00467571,5,7000
AR562439780026023936,"Semcasting, INC.",EIN ID 27-0969578,3,2100
AR562615701886468096,LISA BROWN FOR CONGRESS,FEC ID C00654400,148,51100
AR56264209016553472,KATIE HILL FOR CONGRESS,FEC ID C00634212,17,7500
AR562822410072489984,DIGITAL COMMUNICATIONS LLC,EIN ID 46-4630306,9,300
AR564867501700153344,BOB HUGIN FOR SENATE INC,FEC ID C00671305,9,16700
AR566239692211617792,MICK RICH FOR US SENATE,FEC ID C00633255,26,1700
AR567119301513838592,FRIENDS OF SHERROD BROWN,FEC ID C00264697,1,14100
AR568289181885792256,REPUBLICAN PARTY OF WISCONSIN,FEC ID C00074450,5,1000
AR569371101327523840,LOU BARLETTA FOR SENATE,FEC ID C00445122,6,6000
